variable_name,meaning,data_type,levels,important
title, Title of movie,chr,NA,no
title_type," Type of movie (Documentary, Feature Film, TV Movie)",factor,3,yes
genre," Genre of movie (Action & Adventure, Comedy, Documentary, Drama, Horror, Mystery & Suspense, Other)",factor,11,yes
runtime, Runtime of movie (in minutes),num,NA,yes
mpaa_rating," MPAA rating of the movie (G, PG, PG-13, R, Unrated)",factor,6,yes
studio, Studio that produced the movie,factor,211,no
thtr_rel_year, Year the movie is released in theaters,num,NA,yes
thtr_rel_month, Month the movie is released in theaters,num,NA,yes
thtr_rel_day, Day of the month the movie is released in theaters,num,NA,yes
dvd_rel_year, Year the movie is released on DVD,num,NA,no
dvd_rel_month, Month the movie is released on DVD,num,NA,no
dvd_rel_day, Day of the month the movie is released on DVD,num,NA,no
imdb_rating, Rating on IMDB,num,NA,yes
imdb_num_votes, Number of votes on IMDB,num,NA,yes
critics_rating," Categorical variable for critics rating on Rotten Tomatoes (Certified Fresh, Fresh, Rotten)",factor,3,yes
critics_score, Critics score on Rotten Tomatoes,num,NA,yes
audience_rating," Categorical variable for audience rating on Rotten Tomatoes (Spilled, Upright)",factor,2,yes
audience_score, Audience score on Rotten Tomatoes,num,NA,yes
best_pic_nom," Whether or not the movie was nominated for a best picture Oscar (no, yes)",factor,2,yes
best_pic_win," Whether or not the movie won a best picture Oscar (no, yes)",factor,2,yes
best_actor_win," Whether or not one of the main actors in the movie ever won an Oscar (no, yes)",factor,2,yes
best_actress_win," Whether or not one of the main actresses in the movie ever won an Oscar (no, yes)",factor,2,yes
best_dir_win," Whether or not the director of the movie ever won an Oscar (no, yes)",factor,2,yes
top200_box," Whether or not the movie is in the Top 200 Box Office list on BoxOfficeMojo (no, yes)",factor,2,yes
director, Director of the movie,chr,NA,no
actor1, First main actor/actress in the abridged cast of the movie,chr,NA,no
actor2, Second main actor/actress in the abridged cast of the movie,chr,NA,no
actor3, Third main actor/actress in the abridged cast of the movie,chr,NA,no
actor4, Fourth main actor/actress in the abridged cast of the movie,chr,NA,no
actor5, Fifth main actor/actress in the abridged cast of the movie,chr,NA,no
